rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/episodes,train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates
0.0,271441,16391,16,385.07,532,0.0001,2.5591319428031056e-06,0.03228675853461027,26648
0.0,272904,16496,16,385.03,536,0.0001,4.217663281735895e-06,0.03224105201661587,26792
0.0,274381,16607,16,384.68,540,0.0001,6.838840619138864e-06,0.03186146356165409,26936
0.0,275956,16716,16,385.15,544,0.0001,1.1202043474156653e-05,0.031499473843723536,27096
0.0,277441,16827,16,384.0,548,0.0001,2.0273465622722142e-05,0.03109878720715642,27248
0.0,278872,16930,16,383.7,552,0.0001,1.2124560896609182e-05,0.04215517733246088,27384
0.0,280515,17041,16,385.14,556,0.0001,2.1888929836677562e-05,0.04224029928445816,27552
0.0,282001,17148,16,384.8,560,0.0001,9.155772630720094e-06,0.042757656425237656,27704
0.0,283816,17263,16,387.31,564,0.0001,7.535371764788579e-06,0.04345185123383999,27880
0.0,285601,17378,16,388.0,568,0.0001,1.5456161975180294e-05,0.04285887908190489,28064
0.0,287065,17489,16,389.04,572,0.0001,6.523600291075127e-06,0.04280848428606987,28208
0.0,288961,17607,16,392.0,576,0.0001,2.67963218902878e-06,0.042145056650042534,28400
0.0,290561,17716,16,391.2,580,0.0001,8.138953717207187e-06,0.04206834174692631,28560
0.0,292081,17826,16,390.4,584,0.0001,1.9445162820375117e-05,0.041723559610545635,28712
0.0,293921,17943,16,395.2,588,0.0001,5.782417673572127e-06,0.041827576234936714,28896
0.0,295601,18054,16,397.78,592,0.0001,4.895515331782008e-06,0.04169358219951391,29064
0.0,297441,18170,16,401.31,596,0.0001,5.750937418724789e-06,0.041485258378088474,29248
0.0,299041,18279,16,402.4,600,0.0001,1.2612742651185727e-05,0.04129983019083738,29408
0.0,300801,18394,16,404.66,604,0.0001,1.6261794712590927e-05,0.04086308181285858,29584
0.0,302561,18511,16,406.73,608,0.0001,1.075381389625818e-05,0.04123489372432232,29760
0.0,304321,18625,16,406.85,612,0.0001,9.251858813286162e-06,0.040707639418542385,29936
0.0,306205,18742,16,409.24,616,0.0001,9.219371449376013e-06,0.04055528063327074,30120
0.0,307996,18856,16,411.4,620,0.0001,9.193569653120903e-06,0.040259587578475475,30296
0.0,309761,18975,16,414.26,624,0.0001,1.0046909494576539e-05,0.03995928168296814,30480
0.0,311521,19089,16,416.27,628,0.0001,4.062830726070388e-06,0.04007013328373432,30656
0.0,313361,19205,16,419.2,632,0.0001,1.4235481899049773e-05,0.03997773863375187,30840
0.0,315041,19317,16,421.37,636,0.0001,5.858888755483349e-06,0.04009315371513367,31008
0.0,316801,19431,16,424.2,640,0.0001,5.287489940997148e-06,0.03944156784564257,31184
0.0,318401,19543,16,424.45,644,0.0001,9.689512609156736e-06,0.03917365800589323,31344
0.0,320081,19655,16,426.4,648,0.0001,6.821406898893656e-06,0.03939240239560604,31512
0.0,321761,19766,16,428.89,652,0.0001,5.2508143113527694e-06,0.03879034146666527,31680
0.0,323281,19873,16,427.66,656,0.0001,8.822931761187647e-06,0.038848224096000195,31832
0.0,325121,19994,16,431.2,660,0.0001,6.304817446789457e-06,0.03868905268609524,32016
0.0,326881,20107,16,430.65,664,0.0001,1.934227555011603e-06,0.03825423028320074,32192
0.0,328641,20222,16,430.4,668,0.0001,1.4977016121520137e-05,0.037993776611983776,32368
0.0,330436,20337,16,433.71,672,0.0001,1.4745093537271714e-06,0.0381799079477787,32544
0.0,332241,20452,16,432.8,676,0.0001,3.5287005317741205e-06,0.03750002570450306,32728
0.0,333720,20558,16,431.59,680,0.0001,8.588791857278011e-06,0.037653785198926926,32872
0.0,335521,20678,16,434.4,684,0.0001,5.738060153248625e-06,0.0375490365549922,33056
0.0,340961,20894,16,470.4,688,0.0001,7.710797355287013e-06,0.036847121082246304,33600
0.0,342721,21008,16,471.2,692,0.0001,7.918648492477587e-06,0.03662724792957306,33776
0.0,344353,21118,16,469.12,696,0.0001,1.4780521837565175e-06,0.03664660267531872,33936
0.0,346115,21233,16,470.74,700,0.0001,5.270897275977404e-06,0.03666839096695185,34112
0.0,347579,21338,16,467.78,704,0.0001,1.010567837056442e-05,0.036348387598991394,34256
0.0,349281,21456,16,467.2,708,0.0001,8.716782389228683e-06,0.03625649120658636,34432
0.0,351074,21571,16,467.53,712,0.0001,3.967537097082641e-06,0.03602266125380993,34608
0.0,352881,21690,16,466.76,716,0.0001,7.426812700828123e-06,0.035850183106958866,34792
0.0,354721,21810,16,467.25,720,0.0001,1.130234970503352e-06,0.03567998297512531,34976
0.0,356321,21920,16,465.6,724,0.0001,5.983225001671144e-06,0.03545025549829006,35136
0.0,357921,22029,16,464.0,728,0.0001,7.3369230548792075e-06,0.03558859322220087,35296
0.0,359681,22142,16,463.2,732,0.0001,6.047739915970851e-06,0.035085663199424744,35472
0.0,361361,22255,16,463.2,736,0.0001,4.6839612792837215e-06,0.03520133998245001,35640
0.0,363041,22366,16,462.4,740,0.0001,5.2164868691306765e-06,0.03475621994584799,35808
0.0,364725,22478,16,463.24,744,0.0001,1.1770465576432798e-05,0.03459472022950649,35976
0.0,366401,22590,16,463.2,748,0.0001,5.386510551375068e-06,0.034680942073464394,36144
0.0,368161,22704,16,464.0,752,0.0001,4.687737863662278e-06,0.03435011673718691,36320
0.0,369715,22812,16,464.34,756,0.0001,4.578685057765597e-06,0.034357463009655476,36472
0.0,371361,22924,16,462.4,760,0.0001,1.4094877982984144e-05,0.03402040805667639,36640
0.0,373033,23040,16,461.52,764,0.0001,5.265117060559987e-06,0.03428490087389946,36800
0.0,374641,23153,16,460.0,768,0.0001,1.0473052526549509e-05,0.03363035526126623,36968
0.0,376401,23268,16,459.65,772,0.0001,7.013783736908863e-06,0.03357773460447788,37144
0.0,378081,23383,16,458.4,776,0.0001,9.98496309989605e-06,0.03329982981085777,37312
0.0,379441,23490,16,457.21,780,0.0001,6.994105383739679e-06,0.0332007072865963,37448
0.0,380961,23597,16,454.4,784,0.0001,8.014352790297607e-06,0.032969566993415356,37600
0.0,382721,23711,16,417.6,788,0.0001,4.480434650844245e-06,0.03321816027164459,37776
0.0,384401,23828,16,416.8,792,0.0001,2.9657781794867333e-06,0.03296983987092972,37944
0.0,386161,23941,16,418.08,796,0.0001,2.7459961806641786e-06,0.03283614385873079,38120
0.0,387761,24055,16,416.46,800,0.0001,6.043564967583848e-06,0.03267715685069561,38280
0.0,389441,24167,16,418.62,804,0.0001,4.381222787230854e-06,0.032680975273251534,38448
0.0,391121,24283,16,418.4,808,0.0001,1.2454283545793032e-05,0.032103714533150196,38616
0.0,392721,24392,16,416.47,812,0.0001,7.5798917080760475e-06,0.03219570126384497,38776
0.0,394641,24511,16,417.6,816,0.0001,4.066330149044006e-06,0.03213303070515394,38968
0.0,396321,24623,16,416.0,820,0.0001,5.817766414395464e-06,0.03187130019068718,39136
0.0,397864,24731,16,415.43,824,0.0001,7.475588706284952e-06,0.031676498241722584,39288
0.0,399601,24845,16,416.8,828,0.0001,4.68298019207225e-06,0.03197467885911465,39464
0.0,401281,24957,16,416.0,832,0.0001,4.5082736299661974e-07,0.0318814879283309,39632
0.0,403041,25071,16,416.8,836,0.0001,7.765992009467482e-07,0.03141874819993973,39808
0.0,404881,25188,16,418.4,840,0.0001,3.950914571504427e-06,0.031273291911929846,39992
0.0,406480,25300,16,417.55,844,0.0001,8.558500908861788e-06,0.03076673997566104,40144
0.0,408196,25413,16,417.95,848,0.0001,2.1618363614805958e-06,0.031057349871844053,40320
0.0,410161,25533,16,420.0,852,0.0001,6.3266053871302574e-06,0.030808750074356794,40520
0.0,411841,25651,16,421.26,856,0.0001,2.4876248119198863e-06,0.030804648529738188,40688
0.0,413761,25777,16,424.0,860,0.0001,2.205107584529742e-06,0.03042819770053029,40880
0.0,415441,25888,16,424.08,864,0.0001,2.1636524216717135e-06,0.030431721825152636,41048
0.0,417041,26002,16,424.0,868,0.0001,3.627027538755101e-06,0.03024423075839877,41208
0.0,418801,26116,16,424.0,872,0.0001,2.073898937027252e-06,0.030102775432169437,41384
0.0,420401,26225,16,423.2,876,0.0001,2.102845337859094e-06,0.029820531606674194,41544
0.0,422161,26339,16,427.2,880,0.0001,3.5901513939506913e-06,0.02975203562527895,41720
0.0,423921,26453,16,429.6,884,0.0001,2.1516340424909686e-06,0.029547810554504395,41896
0.0,425521,26563,16,428.0,888,0.0001,4.958572237256931e-06,0.029298733454197645,42056
0.0,427281,26685,16,428.8,892,0.0001,6.21246752530169e-06,0.02908405428752303,42232
0.0,428881,26803,16,427.2,896,0.0001,4.743655702910132e-06,0.029079475440084934,42392
0.0,430641,26917,15,428.8,900,0.0001,7.496749763191701e-06,0.02890764595940709,42568
0.0,432401,27035,15,429.6,904,0.0001,3.2755019603314395e-06,0.028856147080659866,42744
0.0,434094,27148,15,429.73,908,0.0001,4.662203519245622e-06,0.02879406325519085,42912
0.0,435841,27262,15,431.2,912,0.0001,3.6072264872899495e-06,0.028533381409943104,43088
0.0,437841,27383,15,432.0,916,0.0001,3.677815673341911e-06,0.028316799085587263,43288
0.0,439361,27490,15,430.4,920,0.0001,1.0136254232406827e-05,0.028227205388247967,43440
0.0,444721,27705,16,468.57,924,0.0001,4.467431580224002e-06,0.027837096713483334,43976
0.0,446401,27817,16,468.0,928,0.0001,1.890130853610117e-06,0.027988255955278873,44144
0.0,448001,27925,16,467.2,932,0.0001,4.382034521910327e-06,0.027754693757742643,44304
0.0,449761,28040,16,467.2,936,0.0001,3.1048757840324015e-06,0.027598754968494177,44480
0.0,451441,28152,16,465.6,940,0.0001,5.828868246737784e-06,0.02730179764330387,44648
0.0,452961,28260,16,464.81,944,0.0001,1.6495491728107936e-06,0.027399455197155476,44800
0.0,454561,28370,16,463.65,948,0.0001,4.481620575091938e-06,0.027149010449647903,44960
0.0,456081,28478,16,459.2,952,0.0001,1.9619395317249655e-06,0.02715942868962884,45112
0.0,457681,28587,16,458.4,956,0.0001,2.83999375128019e-06,0.027101791463792324,45272
0.0,459176,28693,16,454.15,960,0.0001,1.5928887773242195e-06,0.02698345435783267,45416
0.0,460801,28804,15,453.6,964,0.0001,4.468248668842989e-07,0.026822255458682775,45584
0.0,462561,28918,15,455.2,968,0.0001,6.789217639635581e-06,0.026726985350251198,45760
0.0,464316,29030,15,455.15,972,0.0001,6.945856711126908e-06,0.026517492718994617,45928
0.0,466081,29145,15,456.8,976,0.0001,4.528525391123139e-06,0.02642491227015853,46112
0.0,467921,29261,15,457.6,980,0.0001,3.0634871137635855e-06,0.02632353315129876,46296
0.0,469601,29374,15,456.8,984,0.0001,2.8724448366546085e-06,0.026075927540659904,46464
0.0,471082,29480,15,455.61,988,0.0001,1.6780965026441663e-06,0.026083392091095448,46608
0.0,472641,29589,15,453.6,992,0.0001,1.884352716530202e-06,0.02600480942055583,46768
0.0,474241,29698,15,453.6,996,0.0001,3.768755947319846e-06,0.02585879247635603,46928
0.0,476001,29817,15,453.6,1000,0.0001,2.4028187795011036e-07,0.02585691213607788,47104
0.0,477841,29932,15,454.4,1004,0.0001,2.525149115584213e-06,0.02559224981814623,47288
0.0,479441,30043,15,453.47,1008,0.0001,1.5140020703796608e-06,0.025589104741811752,47448
0.0,481121,30160,15,452.8,1012,0.0001,2.7970767675356e-06,0.02527715638279915,47616
0.0,482666,30268,15,448.25,1016,0.0001,1.5547489500278289e-06,0.025258607231080532,47768
0.0,488001,30486,16,486.4,1020,0.0001,7.326269594543078e-06,0.02492014691233635,48304
0.0,489681,30597,16,449.6,1024,0.0001,3.5043433754822217e-06,0.024868430104106665,48472
0.0,491296,30707,15,448.95,1028,0.0001,1.4153874143829626e-06,0.02463358175009489,48632
0.0,493201,30825,15,452.0,1032,0.0001,3.2643913172591965e-07,0.024671645835042,48824
0.0,495041,30941,15,452.8,1036,0.0001,3.3307990605635496e-06,0.02443183772265911,49008
0.0,496516,31047,15,450.75,1040,0.0001,2.324225524930057e-06,0.02433174755424261,49152
0.0,498321,31163,15,453.6,1044,0.0001,1.2532406650223038e-06,0.024337346199899912,49336
0.0,500035,31275,15,454.74,1048,0.0001,3.3585634504618156e-06,0.024082456715404987,49504
0.0,501841,31390,15,457.6,1052,0.0001,4.3633829989175865e-06,0.023898557759821415,49688
0.0,503521,31502,15,458.4,1056,0.0001,6.544543564857008e-06,0.02363454829901457,49856
0.0,505121,31611,15,459.45,1060,0.0001,2.1666611633719413e-06,0.023707397747784853,50016
0.0,506799,31723,15,459.98,1064,0.0001,2.4061161338906345e-06,0.023734484799206257,50176
0.0,508476,31834,15,459.15,1068,0.0001,2.2865978976938095e-06,0.023552057333290577,50344
0.0,510241,31955,15,459.25,1072,0.0001,2.2078531145552915e-06,0.02341628586873412,50528
0.0,511921,32071,15,458.4,1076,0.0001,2.2014811520421063e-06,0.023278008215129375,50696
0.0,513495,32183,15,455.74,1080,0.0001,4.0569451833505354e-06,0.02328817965462804,50848
0.0,515201,32296,15,456.0,1084,0.0001,1.2327362952646581e-06,0.02315767016261816,51024
0.0,516881,32408,15,457.99,1088,0.0001,1.156915626410182e-06,0.022987743839621544,51192
0.0,518641,32522,15,460.0,1092,0.0001,1.1815841247653225e-06,0.022992373444139957,51368
0.0,520241,32632,15,460.0,1096,0.0001,2.192630393693662e-06,0.022844410967081785,51528
0.0,521921,32751,15,459.2,1100,0.0001,2.9411742374918504e-07,0.022746688220649958,51696
0.0,523761,32870,15,459.2,1104,0.0001,2.0256965704845697e-06,0.022528637666255236,51880
0.0,525437,32986,15,459.96,1108,0.0001,4.010972908474741e-06,0.022513653617352247,52040
0.0,526961,33098,15,458.4,1112,0.0001,4.8115766908551905e-06,0.022309962660074234,52200
0.0,528594,33208,15,459.28,1116,0.0001,2.827419216089311e-06,0.0222382303327322,52360
0.0,530241,33325,15,422.4,1120,0.0001,2.99753361687749e-07,0.02224452467635274,52528
0.0,531841,33435,15,421.6,1124,0.0001,1.960678309487207e-06,0.0221928795799613,52688
0.0,533475,33550,15,421.79,1128,0.0001,2.0755259271254545e-06,0.02199506713077426,52848
0.0,535121,33661,15,419.2,1132,0.0001,2.8771831601659414e-06,0.022019391413778067,53016
0.0,536937,33777,15,418.96,1136,0.0001,3.0580495966603394e-06,0.021772694773972034,53192
0.0,538556,33889,15,420.4,1140,0.0001,1.972285957663189e-06,0.021598865278065205,53352
0.0,540161,34000,15,418.4,1144,0.0001,2.084178550632032e-06,0.02162522589787841,53520
0.0,541921,34115,15,418.86,1148,0.0001,2.9548745281715583e-06,0.021396183874458075,53696
0.0,543601,34227,15,417.6,1152,0.0001,1.9280542016275604e-06,0.0213880380615592,53864
0.0,545441,34348,15,419.2,1156,0.0001,3.433684820919325e-06,0.021257836371660233,54048
0.0,547201,34463,15,420.8,1160,0.0001,1.778533924579051e-06,0.021146252751350403,54224
0.0,549041,34579,15,422.42,1164,0.0001,3.431434583589521e-06,0.020956330467015505,54408
0.0,550721,34692,15,422.45,1168,0.0001,2.6012495979443884e-06,0.02098576119169593,54576
0.0,552241,34800,15,420.0,1172,0.0001,1.9143222349526923e-06,0.020857848692685366,54728
0.0,554001,34915,15,420.8,1176,0.0001,3.3505653078691466e-06,0.02076504798606038,54904
0.0,555681,35027,15,421.86,1180,0.0001,4.633062806291832e-06,0.02069623628631234,55072
0.0,557281,35137,15,420.8,1184,0.0001,1.0166355437490893e-06,0.02060894016176462,55232
0.0,558801,35245,15,419.2,1188,0.0001,4.00134139688646e-06,0.02040236024186015,55384
0.0,560481,35358,15,418.4,1192,0.0001,1.7552460285230609e-06,0.020403195172548294,55552
0.0,562161,35477,15,419.2,1196,0.0001,3.070215310430058e-06,0.020216400735080242,55720
0.0,563761,35587,15,418.4,1200,0.0001,2.3255763021978737e-06,0.020226255990564823,55880
0.0,565521,35701,15,417.6,1204,0.0001,3.905664931025399e-06,0.020034921821206808,56056
0.0,567281,35821,15,418.44,1208,0.0001,4.568908906321667e-06,0.020005298778414726,56232
0.0,569041,35939,15,420.8,1212,0.0001,3.194529600847318e-06,0.01990075269713998,56408
0.0,570915,36056,15,423.21,1216,0.0001,2.03959995559444e-07,0.019820031244307756,56592
0.0,572641,36170,15,424.0,1220,0.0001,1.561621779444522e-06,0.019703533966094255,56768
0.0,574401,36285,15,425.6,1224,0.0001,1.7077487015626502e-06,0.019644427578896284,56944
0.0,576001,36395,15,425.26,1228,0.0001,2.9303365067789855e-06,0.01953319041058421,57104
0.0,577801,36516,15,426.8,1232,0.0001,2.4396361908429753e-07,0.019449213054031134,57280
