train/value_loss,rollout/ep_rew_mean,time/fps,train/explained_variance,train/n_updates,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/policy_loss,time/iterations,train/learning_rate,train/entropy_loss
0.0025789476931095123,0.7419354915618896,19,0.00918734073638916,5099,822.3225806451613,1327,25500,-0.08036254346370697,5100,0.0007,-2.1862285137176514
1.540141056466382e-05,0.75,19,-15.053789138793945,5199,810.375,1358,26000,-0.002378404838964343,5200,0.0007,-2.1999597549438477
1.6969981686543179e-07,0.7272727489471436,19,-0.3470127582550049,5299,799.6060606060606,1386,26500,-0.0007040034979581833,5300,0.0007,-2.185711145401001
2.7837268135044724e-07,0.7272727489471436,19,0.0,5399,799.6060606060606,1402,27000,-0.0006724575068801641,5400,0.0007,-2.1205978393554688
3.106194412794139e-07,0.7272727489471436,19,-2461.837890625,5499,799.6060606060606,1417,27500,0.000641016464214772,5500,0.0007,-2.1205708980560303
3.10106026144355e-13,0.7272727489471436,19,0.0,5599,799.6060606060606,1435,28000,-8.224651537602767e-07,5600,0.0007,-2.1204121112823486
1.019061173224145e-07,0.7272727489471436,19,-142.84803771972656,5699,799.6060606060606,1451,28500,0.00023848838463891298,5700,0.0007,-2.121997594833374
1.2536608036406438e-11,0.7272727489471436,19,1.1920928955078125e-07,5799,799.6060606060606,1466,29000,-7.085704510245705e-06,5800,0.0007,-2.122337818145752
5.7140430165247835e-09,0.7272727489471436,19,-1.1475780010223389,5899,799.6060606060606,1486,29500,0.0001383450726279989,5900,0.0007,-2.119828462600708
1.4719454544120936e-09,0.7272727489471436,19,0.0,5999,799.6060606060606,1505,30000,8.502263517584652e-05,6000,0.0007,-2.1194941997528076
1.876159529956567e-07,0.7352941036224365,19,-2.8316092491149902,6099,893.7352941176471,1543,30500,0.0005603457684628665,6100,0.0007,-2.108957052230835
1.2371025377433398e-06,0.7428571581840515,19,0.0,6199,878.2857142857143,1572,31000,-0.0024025090970098972,6200,0.0007,-2.0622975826263428
2.4185922598007892e-08,0.7428571581840515,19,0.0,6299,878.2857142857143,1590,31500,-0.0004125900159124285,6300,0.0007,-2.058668851852417
2.938162907417663e-11,0.7428571581840515,19,0.0,6399,878.2857142857143,1603,32000,-7.937514965306036e-06,6400,0.0007,-2.0567121505737305
1.8107683999154037e-14,0.7428571581840515,20,0.0,6499,878.2857142857143,1617,32500,2.972534787204495e-07,6500,0.0007,-2.0555365085601807
2.865557128314376e-17,0.7428571581840515,20,0.0,6599,878.2857142857143,1628,33000,9.539363965416214e-09,6600,0.0007,-2.055539846420288
4.04681322925134e-18,0.7428571581840515,20,0.0,6699,878.2857142857143,1645,33500,4.0012340107864475e-09,6700,0.0007,-2.055539846420288
0.0,0.7428571581840515,20,nan,6799,878.2857142857143,1659,34000,-0.0,6800,0.0007,-2.054218053817749
0.0,0.7428571581840515,20,nan,6899,878.2857142857143,1674,34500,-0.0,6900,0.0007,-2.054218053817749
0.0,0.7222222089767456,20,nan,6999,965.0,1705,35000,-0.0,7000,0.0007,-2.054218053817749
1.3971207408758346e-06,0.7297297120094299,20,0.0,7099,956.0,1733,35500,-0.0013811209937557578,7100,0.0007,-2.1229496002197266
4.435044502315577e-06,0.7297297120094299,20,0.0,7199,956.0,1744,36000,-0.004913961514830589,7200,0.0007,-2.112272262573242
3.74946409920085e-07,0.7368420958518982,20,-4.689520835876465,7299,948.078947368421,1772,36500,-0.0009952648542821407,7300,0.0007,-2.131816864013672
1.0083696100338102e-09,0.7368420958518982,20,5.960464477539063e-08,7399,948.078947368421,1782,37000,-7.165442366385832e-05,7400,0.0007,-2.132171392440796
9.356372447644201e-12,0.7368420958518982,20,0.0,7499,948.078947368421,1802,37500,5.828369467053562e-06,7500,0.0007,-2.132547378540039
